date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:03	4032/4032	---M-Z	200	added ('OK')	image/svg+xml	etag:%227fd08f86208ce9e44455621a8bd107f4-ssl-df%22	https://robovission.netlify.app/img/partners/p1.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/partners/p1.svg	(from https://robovission.netlify.app/index-demo-1.html)
00:50:03	3556/3556	---M-Z	200	added ('OK')	image/svg+xml	etag:%229cbb09f5990e95a1fb64d5991acf2a8e-ssl-df%22	https://robovission.netlify.app/img/partners/p2.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/partners/p2.svg	(from https://robovission.netlify.app/index-demo-1.html)
00:50:03	61251/61251	---M--	200	added ('OK')	image/png	etag:%22374a838d4aa1475b11c5685d24c0b520-ssl%22	https://robovission.netlify.app/img/core-img/robo.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/core-img/robo.png	(from https://robovission.netlify.app/index-demo-1.html)
00:50:04	2286/2286	---M-Z	200	added ('OK')	image/svg+xml	etag:%2248f8971878533547e9a4cdcdcdaec697-ssl-df%22	https://robovission.netlify.app/img/partners/p3.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/partners/p3.svg	(from https://robovission.netlify.app/index-demo-1.html)
00:50:04	2576/2576	---M-Z	200	added ('OK')	image/svg+xml	etag:%221ff8ffccd53a6071edfea3c88fbe7add-ssl-df%22	https://robovission.netlify.app/img/partners/p4.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/partners/p4.svg	(from https://robovission.netlify.app/index-demo-1.html)
00:50:04	3492/3492	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d59fad46d7dbaba19bd127b30adc619d-ssl-df%22	https://robovission.netlify.app/img/partners/p5.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/partners/p5.svg	(from https://robovission.netlify.app/index-demo-1.html)
00:50:04	2711/2711	---M-Z	200	added ('OK')	image/svg+xml	etag:%2242b4f090838e8ac0b5f4e48c4c05151e-ssl-df%22	https://robovission.netlify.app/img/partners/p6.svg	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/partners/p6.svg	(from https://robovission.netlify.app/index-demo-1.html)
00:50:05	10742/10742	---M--	200	added ('OK')	image/png	etag:%220946b3004b53ec424c763fffd9680d67-ssl%22	https://robovission.netlify.app/img/services/s1.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/services/s1.png	(from https://robovission.netlify.app/index-demo-1.html)
00:50:06	15345/15345	---M--	200	added ('OK')	image/png	etag:%22e424cff969bda41d0d0a8f4185b532c6-ssl%22	https://robovission.netlify.app/img/services/s2.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/services/s2.png	(from https://robovission.netlify.app/index-demo-1.html)
00:50:06	16254/16254	---M--	200	added ('OK')	image/png	etag:%22964ad60c14ef9777fbf1f0b539fbf128-ssl%22	https://robovission.netlify.app/img/services/s3.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/services/s3.png	(from https://robovission.netlify.app/index-demo-1.html)
00:50:07	13840/13840	---M--	200	added ('OK')	image/png	etag:%2238d22d26a90baf86e53e8d11a9772aae-ssl%22	https://robovission.netlify.app/img/services/s4.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/services/s4.png	(from https://robovission.netlify.app/index-demo-1.html)
00:50:07	15306/15306	---M--	200	added ('OK')	image/png	etag:%224fd42889dffeb35773897cb8bca8788e-ssl%22	https://robovission.netlify.app/img/services/s5.png	C:/My%20Web%20Sites/Robo/robo/robovission.netlify.app/img/services/s5.png	(from https://robovission.netlify.app/index-demo-1.html)
